path	score	canonical	h1	meta_desc	words	ctx_block
public/auto-drip-seo-proof.html	0	0	0	0	209	0
public/panic-when-ai-stops-working.html	0	0	0	0	209	0
public/sideguy-human-ai-handoff.html	0	0	0	0	209	0
public/compliance-software-vendors/_disclaimer.html	0	0	0	0	239	0
public/includes/network-featured.html	0	0	0	0	157	0
public/includes/trending-problems.html	0	0	0	0	179	0
public/includes/learning-loop-winners.html	0	0	0	0	56	0
public/includes/network-discovery-featured.html	0	0	0	0	47	0
public/snippets/search/search-trust.html	1	0	0	0	278	0
public/panic-help.html	4	1	1	0	653	1
public/decision-help.html	4	1	1	0	640	1
public/.html	4	0	1	1	702	1
public/money-help.html	4	1	1	0	650	1
public/auto/index.html	4	1	1	1	1815	0
public/airport-help/allegiant-air-san-diego-terminal-1-help.html	4	0	1	1	387	1
public/airport-help/spirit-airlines-san-diego-terminal-1-help.html	4	0	1	1	383	1
public/airport-help/united-airlines-san-diego-terminal-2-help.html	4	0	1	1	387	1
public/airport-help/sun-country-airlines-san-diego-terminal-1-help.html	4	0	1	1	384	1
public/airport-help/lufthansa-san-diego-terminal-2-help.html	4	0	1	1	372	1
public/airport-help/delta-air-lines-san-diego-terminal-2-help.html	4	0	1	1	393	1
public/airport-help/southwest-airlines-san-diego-terminal-1-help.html	4	0	1	1	380	1
public/airport-help/american-airlines-san-diego-terminal-2-help.html	4	0	1	1	383	1
public/airport-help/jetblue-san-diego-terminal-2-help.html	4	0	1	1	377	1
public/airport-help/british-airways-san-diego-terminal-2-help.html	4	0	1	1	382	1
public/airport-help/japan-airlines-san-diego-terminal-2-help.html	4	0	1	1	381	1
public/airport-help/frontier-airlines-san-diego-terminal-1-help.html	4	0	1	1	377	1
public/airport-help/alaska-airlines-san-diego-terminal-2-help.html	4	0	1	1	380	1
public/discovery/problem-discovery.html	4	0	1	1	1018	1
public/auto/hubs/contractor-hub.html	4	0	1	1	392	1
public/auto/hubs/ai-automation-hub.html	4	0	1	1	422	1
public/auto/hubs/general-hub.html	4	0	1	1	450	1
public/auto/hubs/payments-hub.html	4	0	1	1	417	1
public/auto/hubs/software-hub.html	4	0	1	1	397	1
public/auto/hubs/index.html	4	0	1	1	371	1
public/auto/hubs/local-business-hub.html	4	0	1	1	410	1
public/assistance/dmv/san-diego-dmv-no-appointment.html	4	0	1	1	643	1
public/assistance/courthouse/san-diego-missed-court-date.html	4	0	1	1	655	1
public/assistance/stadiums/san-diego-stadium-parking-confusion.html	4	0	1	1	651	1
public/assistance/hospitals/san-diego-hospital-billing-confusion.html	4	0	1	1	640	1
public/assistance/airports/san-diego-airport-tight-connection.html	4	0	1	1	652	1
public/system/command-center/index.html	4	1	1	0	675	1
public/signal-market-consensus-vs-reality-20260119-220652.html	5	1	1	1	759	1
public/payments-confusion-help.html	5	1	1	1	768	1
public/signal-why-unders-beat-overs-20260119-220652.html	5	1	1	1	759	1
public/signal-vs-noise-ai.html	5	1	1	1	695	1
public/ai-automation-restaurant.html	5	1	1	1	307	1
public/signal-signal-engine-concept-20260119-220652.html	5	1	1	1	759	1
public/signal-how-to-walk-away-20260119-220652.html	5	1	1	1	764	1
public/sideguy-decision-support.html	5	1	1	1	690	1
public/signal-why-variance-is-not-failure-20260119-220652.html	5	1	1	1	764	1
public/signal-why-role-matters-more-than-talent-20260119-220652.html	5	1	1	1	766	1
public/ai-automation-medical.html	5	1	1	1	317	1
public/signal-why-most-bettors-lose-20260119-220652.html	5	1	1	1	759	1
public/signal-how-to-read-line-movement-20260119-220652.html	5	1	1	1	768	1
public/signal-why-unders-age-well-20260119-220652.html	5	1	1	1	761	1
public/signal-betting-without-emotion-20260119-220652.html	5	1	1	1	749	1
public/signal-calm-money-framework-20260119-220652.html	5	1	1	1	751	1
public/ai-vs-human-decisions.html	5	1	1	1	702	1
public/signal-betting-labs-explained-20260119-220652.html	5	1	1	1	761	1
public/sideguy-safety-model.html	5	1	1	1	690	1
public/signal-ai-plus-human-decision-20260119-220652.html	5	1	1	1	751	1
public/who-do-i-call-for-airport-transportation-san-diego.html	5	1	1	1	794	1
public/signal-clarity-before-cost-20260119-220652.html	5	1	1	1	759	1
public/human-guided-ai.html	5	1	1	1	684	1
public/sideguy-real-help.html	5	1	1	1	681	1
public/clarity-before-cost.html	5	1	1	1	690	1
public/signal-why-stars-are-overpriced-20260119-220652.html	5	1	1	1	756	1
public/who-do-i-call-when-ai-breaks-my-workflow.html	5	1	1	1	815	1
public/who-do-i-call-about-ai-tools.html	5	1	1	1	785	1
public/signal-when-not-to-bet-20260119-220652.html	5	1	1	1	763	1
public/ai-tools-explained-simply.html	5	1	1	1	684	1
public/ai-automation-contractor.html	5	1	1	1	321	1
public/signal-why-unders-are-structural-20260119-220652.html	5	1	1	1	764	1
public/signal-how-to-read-prop-mispricing-20260119-220652.html	5	1	1	1	763	1
public/signal-why-books-miss-role-players-20260119-220652.html	5	1	1	1	770	1
public/signal-betting-as-signal-not-gambling-20260119-220652.html	5	1	1	1	761	1
public/sideguy-proof-of-work.html	5	1	1	1	686	1
public/who-do-i-call.html	5	1	1	1	778	1
