timestamp	topic	bucket	intent	suggested_url
2026-03-07T12:52:08Z	payment processor fees too high	payments	money-pain	/payment-processor-fees-too-high.html
2026-03-07T12:52:08Z	chargeback help for small business	payments	guidance	/chargeback-help-for-small-business.html
2026-03-07T12:52:08Z	how to accept stablecoin payments	payments	guidance	/how-to-accept-stablecoin-payments.html
2026-03-07T12:52:08Z	ai automation for contractors	ai-software	discovery	/ai-automation-for-contractors.html
2026-03-07T12:52:08Z	ai receptionist for small business	ai-software	discovery	/ai-receptionist-for-small-business.html
2026-03-07T12:52:08Z	crm setup help	ai-software	guidance	/crm-setup-help.html
2026-03-07T12:52:08Z	website not getting leads	ai-software	diagnostic	/website-not-getting-leads.html
2026-03-07T12:52:08Z	google business profile suspended	ai-software	diagnostic	/google-business-profile-suspended.html
2026-03-07T12:52:08Z	hvac quote seems too high	home-operator	money-pain	/hvac-quote-seems-too-high.html
2026-03-07T12:52:08Z	mini split not cooling	home-operator	diagnostic	/mini-split-not-cooling.html
2026-03-07T12:52:08Z	drafty windows in house	home-operator	discovery	/drafty-windows-in-house.html
2026-03-07T12:52:08Z	dishwasher not draining	ai-software	diagnostic	/dishwasher-not-draining.html
2026-03-07T12:52:08Z	foundation inspection cost	home-operator	money-pain	/foundation-inspection-cost.html
2026-03-07T12:52:08Z	ev charger install permit	future-industries	guidance	/ev-charger-install-permit.html
2026-03-07T12:52:08Z	tesla charger install cost	future-industries	money-pain	/tesla-charger-install-cost.html
2026-03-07T12:52:08Z	compliance software too expensive	ai-software	money-pain	/compliance-software-too-expensive.html
2026-03-07T12:52:08Z	medical device software consultant	ai-software	discovery	/medical-device-software-consultant.html
2026-03-07T12:52:08Z	rare earth supply chain software	ai-software	discovery	/rare-earth-supply-chain-software.html
2026-03-07T12:52:08Z	robotics integration for small business	future-industries	discovery	/robotics-integration-for-small-business.html
2026-03-07T12:52:08Z	prediction market strategy tools	signal-lab	guidance	/prediction-market-strategy-tools.html
2026-03-07T12:52:08Z	kalshi hedging strategy	signal-lab	guidance	/kalshi-hedging-strategy.html
2026-03-07T12:52:08Z	underdog pick insurance strategy	signal-lab	guidance	/underdog-pick-insurance-strategy.html
2026-03-07T12:52:08Z	plumbing quote second opinion	home-operator	money-pain	/plumbing-quote-second-opinion.html
2026-03-07T12:52:08Z	landscaping company software	ai-software	discovery	/landscaping-company-software.html
2026-03-07T12:52:08Z	how to lower payment processing fees	payments	money-pain	/how-to-lower-payment-processing-fees.html
